Date,Close,Daily Return,MA 20,MA 50,Signal,Position,Trade,Trading Cost,Strategy Return,Buy and Hold Growth,Strategy Growth
2025-08-05,24649.55078125,,,,0,0.0,0.0,0.0,,1.0,1.0
2025-08-06,24574.19921875,-0.003056914228121266,,,0,0.0,0.0,0.0,-0.0,0.9969430857718787,1.0
2025-08-07,24596.150390625,0.0008932609229541644,,,0,0.0,0.0,0.0,0.0,0.9978336160728081,1.0
2025-08-08,24363.30078125,-0.009466912735407229,,,0,0.0,0.0,0.0,-0.0,0.9883872123049909,1.0
2025-08-11,24585.05078125,0.009101804471857822,,,0,0.0,0.0,0.0,0.0,0.9973833194538756,1.0
2025-08-12,24487.400390625,-0.003971941790719136,,,0,0.0,0.0,0.0,-0.0,0.9934217709659706,1.0
2025-08-13,24619.349609375,0.005388453516712133,,,0,0.0,0.0,0.0,0.0,0.9987747780013106,1.0
2025-08-14,24631.30078125,0.00048543816407109475,,,0,0.0,0.0,0.0,0.0,0.9992596213958641,1.0
2025-08-18,24876.94921875,0.009973019276634965,,,0,0.0,0.0,0.0,0.0,1.009225256862408,1.0
2025-08-19,24980.650390625,0.004168564680625764,,,0,0.0,0.0,0.0,0.0,1.01343227762296,1.0
2025-08-20,25050.55078125,0.0027981813736617234,,,0,0.0,0.0,0.0,0.0,1.0162680449456722,1.0
2025-08-21,25083.75,0.0013252889742787488,,,0,0.0,0.0,0.0,0.0,1.0176148937805505,1.0
2025-08-22,24870.099609375,-0.008517482060098724,,,0,0.0,0.0,0.0,-0.0,1.0089473771786854,1.0
2025-08-25,24967.75,0.003926417350905487,,,0,0.0,0.0,0.0,0.0,1.0129089256665904,1.0
2025-08-26,24712.05078125,-0.010241179872034878,,,0,0.0,0.0,0.0,-0.0,1.0025355431648493,1.0
2025-08-28,24500.900390625,-0.008544430103923584,,,0,0.0,0.0,0.0,-0.0,0.9939694482895781,1.0
2025-08-29,24426.849609375,-0.0030223697933294824,,,0,0.0,0.0,0.0,-0.0,0.9909653050535753,1.0
2025-09-01,24625.05078125,0.008114070174605414,,,0,0.0,0.0,0.0,0.0,0.9990060670793792,1.0
2025-09-02,24579.599609375,-0.0018457290617897026,,,0,0.0,0.0,0.0,-0.0,0.9971621725484666,1.0
2025-09-03,24715.05078125,0.0055107151470170646,24694.777734375,,0,0.0,0.0,0.0,0.0,1.0026572492367618,1.0
2025-09-04,24734.30078125,0.0007788776228048189,24699.015234375,,0,0.0,0.0,0.0,0.0,1.0034381965315353,1.0
2025-09-05,24741.0,0.00027084730671167456,24707.3552734375,,0,0.0,0.0,0.0,0.0,1.0037099750645175,1.0
2025-09-08,24773.150390625,0.0012994782193525012,24716.2052734375,,0,0.0,0.0,0.0,0.0,1.0050142743156607,1.0
2025-09-09,24868.599609375,0.003852930178235292,24741.47021484375,,0,0.0,0.0,0.0,0.0,1.0088865241427287,1.0
2025-09-10,24973.099609375,0.0042020862308871365,24760.87265625,,0,0.0,0.0,0.0,0.0,1.0131259523143565,1.0
2025-09-11,25005.5,0.0012974116602184615,24786.77763671875,,0,0.0,0.0,0.0,0.0,1.0144403937381592,1.0
2025-09-12,25114.0,0.004339045410009845,24811.51015625,,0,0.0,0.0,0.0,0.0,1.0188420966723373,1.0
2025-09-15,25069.19921875,-0.0017838966811339896,24833.405078125,,0,0.0,0.0,0.0,-0.0,1.017024587637484,1.0
2025-09-16,25239.099609375,0.006777256391098607,24851.51259765625,,0,0.0,0.0,0.0,0.0,1.0239172240239545,1.0
2025-09-17,25330.25,0.003611475529465391,24868.992578125,,0,0.0,0.0,0.0,0.0,1.0276150760227152,1.0
2025-09-18,25423.599609375,0.0036853015416349333,24887.64501953125,,0,0.0,0.0,0.0,0.0,1.031402147446589,1.0
2025-09-19,25327.05078125,-0.0037976065391384095,24899.81005859375,,0,0.0,0.0,0.0,-0.0,1.0274852879069645,1.0
2025-09-22,25202.349609375,-0.004923635718664832,24916.42255859375,,0,0.0,0.0,0.0,-0.0,1.0224263246430232,1.0
2025-09-23,25169.5,-0.0013034343973540308,24926.51005859375,,0,0.0,0.0,0.0,-0.0,1.0210936590027233,1.0
2025-09-24,25056.900390625,-0.00447365300760838,24943.7525390625,,0,0.0,0.0,0.0,-0.0,1.0165256402840759,1.0
2025-09-25,24890.849609375,-0.006626948212322681,24963.25,,0,0.0,0.0,0.0,-0.0,1.0097891775094152,1.0
2025-09-26,24654.69921875,-0.009487437927231501,24974.64248046875,,0,0.0,0.0,0.0,-0.0,1.0002088653682044,1.0
2025-09-29,24634.900390625,-0.0008030448049409777,24975.1349609375,,0,0.0,0.0,0.0,-0.0,0.9994056528350146,1.0
2025-09-30,24611.099609375,-0.0009661407544825362,24976.7099609375,,0,0.0,0.0,0.0,-0.0,0.9984400863035504,1.0
2025-10-01,24836.30078125,0.009150390492475902,24982.7724609375,,0,0.0,0.0,0.0,0.0,1.0075762029765691,1.0
2025-10-03,24894.25,0.0023332467769816567,24990.769921875,,0,0.0,0.0,0.0,0.0,1.0099271269047276,1.0
2025-10-06,25077.650390625,0.007367178791287232,25007.60244140625,,0,0.0,0.0,0.0,0.0,1.0173674406148059,1.0
2025-10-07,25108.30078125,0.0012222193924698033,25024.3599609375,,0,0.0,0.0,0.0,0.0,1.0186108868299926,1.0
2025-10-08,25046.150390625,-0.0024752925801897474,25033.2375,,0,0.0,0.0,0.0,-0.0,1.0160895268597219,1.0
2025-10-09,25181.80078125,0.005416017571936882,25043.67255859375,,0,0.0,0.0,0.0,0.0,1.0215926855918551,1.0
2025-10-10,25285.349609375,0.0041120501676790155,25057.6650390625,,0,0.0,0.0,0.0,0.0,1.0257935259659428,1.0
2025-10-13,25227.349609375,-0.0022938183927065925,25063.33251953125,,0,0.0,0.0,0.0,-0.0,1.0234405419089627,1.0
2025-10-14,25145.5,-0.003244479132464395,25067.14755859375,,0,0.0,0.0,0.0,-0.0,1.020120010427421,1.0
2025-10-15,25323.55078125,0.007080820872521931,25071.3701171875,,0,0.0,0.0,0.0,0.0,1.0273432974897327,1.0
2025-10-16,25585.30078125,0.010336228211479837,25084.12265625,24908.524140625,1,0.0,0.0,0.0,0.0,1.037962152264121,1.0
2025-10-17,25709.849609375,0.004867983737610659,25098.43515625,24929.7301171875,1,1.0,1.0,0.0005,0.004367983737610659,1.043014935141598,1.0043679837376107
2025-10-20,25843.150390625,0.005184813729964155,25124.24013671875,24955.109140625,1,1.0,0.0,0.0,0.005184813729964155,1.048422773297878,1.00957544464963
2025-10-21,25868.599609375,0.0009847568259027106,25157.55263671875,24980.558125,1,1.0,0.0,0.0,0.0009847568259027106,1.049455214780315,1.0105696309600123
2025-10-23,25891.400390625,0.0008814076368377499,25193.64765625,25011.1201171875,1,1.0,0.0,0.0,0.0008814076368377499,1.0503802126211415,1.0114603547502967
2025-10-24,25795.150390625,-0.0037174505259611745,25230.56015625,25035.322109375,1,1.0,0.0,0.0,-0.0037174505259611745,1.0464754761472739,1.0077003009225414
2025-10-27,25966.05078125,0.006625291500029773,25284.32021484375,25064.8951171875,1,1.0,0.0,0.0,0.006625291500029773,1.053408681224382,1.0143766091608208
2025-10-28,25936.19921875,-0.001149638146805021,25348.39521484375,25091.232109375,1,1.0,0.0,0.0,-0.001149638146805021,1.0521976424202708,1.0132104431157027
2025-10-29,26053.900390625,0.0045381040946781415,25419.34521484375,25119.6841015625,1,1.0,0.0,0.0,0.0045381040946781415,1.0569726248497489,1.0178084975763768
2025-10-30,25877.849609375,-0.0067571756478100875,25482.68271484375,25139.702109375,1,1.0,0.0,0.0,-0.0067571756478100875,1.0498304751687122,1.0109309867824194
2025-10-31,25722.099609375,-0.006018660837397216,25526.97265625,25154.53109375,1,1.0,0.0,0.0,-0.006018660837397216,1.043511901601908,1.0048465360429608
2025-11-03,25763.349609375,0.0016036793506921665,25570.42763671875,25168.7870703125,1,1.0,0.0,0.0,0.0016036793506921665,1.0451853600907086,1.0064579876834274
2025-11-04,25597.650390625,-0.006431586779760301,25596.42763671875,25179.065078125,1,1.0,0.0,0.0,-0.006431586779760301,1.0384631597463503,0.9999848657954585
2025-11-06,25509.69921875,-0.0034359080045569534,25616.49755859375,25191.8570703125,1,1.0,0.0,0.0,-0.0034359080045569534,1.0348950958633403,0.9965490097906361
2025-11-07,25492.30078125,-0.0006820322478444663,25638.805078125,25202.3480859375,1,1.0,0.0,0.0,-0.0006820322478444663,1.0341892640348254,0.9958693312294015
